# RITA Tax Rates Table, tax year 2026
# Source: https://www.ritaohio.com/TaxRatesTable/Home/GetTaxRatesByYear?TaxYear=2026&FilterString=ALL
# Retrieved: 2026-07-14
# Columns: Municipality|Code|Tax Rate|Credit Factor (Tax Credit)|Credit Rate (Credit Limit)
Aberdeen|023|1.000%|100.000%|1.000%
Ada|004|1.650%|100.000%|1.650%
Addyston|018|1.500%|100.000%|1.500%
Adelphi|022|1.000%|0.000%|0.000%
Alexandria|043|1.000%|0.000%|0.000%
Alger|024|1.000%|100.000%|1.000%
Amanda|044|1.000%|0.000%|0.000%
Amsterdam|039|1.000%|100.000%|1.000%
Andover|015|1.500%|100.000%|1.500%
Antwerp|031|1.000%|50.000%|1.000%
Apple Creek|032|1.000%|0.000%|0.000%
Apple Creek-East Union Twp JEDD II|047|1.000%|0.000%|0.000%
Arcanum|014|1.000%|0.000%|0.000%
Arlington Heights|013|2.100%|100.000%|2.100%
Ashley|041|1.000%|0.000%|0.000%
Ashville|006|1.000%|0.000%|0.000%
Aurora|010|2.000%|100.000%|2.000%
Avon|020|1.950%|100.000%|1.700%
Avon Lake|021|1.500%|100.000%|1.500%
Bainbridge Twp. Aurora JEDD|919|2.000%|100.000%|2.000%
Bainbridge-Solon JEDD|037|2.000%|0.000%|0.000%
Baltic|033|1.500%|100.000%|1.500%
Baltimore|029|1.000%|0.000%|0.000%
Barberton|028|2.250%|100.000%|2.250%
Barnesville|034|1.000%|100.000%|1.000%
Barnesville JEDD I|061|1.000%|0.000%|0.000%
Barnesville JEDD II|062|1.000%|0.000%|0.000%
Batavia|035|1.000%|0.000%|0.000%
Bay Village|040|1.500%|100.000%|1.000%
Beachwood|050|2.000%|100.000%|2.000%
Beachwood East JEDD|051|2.000%|0.000%|0.000%
Beachwood West JEDD|052|2.000%|0.000%|0.000%
Beaverdam|054|1.000%|100.000%|1.000%
Bedford|060|3.000%|100.000%|2.250%
Bedford Heights|065|2.000%|100.000%|2.000%
Bellaire|085|1.000%|100.000%|1.000%
Belle Center|083|1.000%|100.000%|1.000%
Bellevue|086|2.000%|100.000%|2.000%
Bellville|088|1.000%|50.000%|1.000%
Belpre|089|1.000%|100.000%|1.000%
Bentleyville|090|1.000%|12.500%|1.000%
Berea|100|2.000%|100.000%|1.500%
Bethel|116|1.000%|75.000%|1.000%
Bettsville|102|1.000%|0.000%|0.000%
Beverly|103|1.250%|100.000%|1.250%
Bexley|104|2.500%|65.000%|2.500%
Blanchester|118|1.000%|100.000%|1.000%
Bloomdale|096|1.000%|0.000%|0.000%
Bloomingdale|095|1.000%|100.000%|1.000%
Bloomville|123|1.000%|0.000%|0.000%
Boston Heights|110|2.000%|100.000%|2.000%
Boston Twp Peninsula JEDD|117|2.000%|0.000%|0.000%
Bowerston|108|1.000%|100.000%|1.000%
Bradford|112|1.000%|100.000%|1.000%
Bratenahl|120|2.000%|50.000%|2.000%
Brecksville|130|2.000%|100.000%|2.000%
Bremen|132|1.000%|50.000%|1.000%
Brice|136|2.000%|100.000%|2.000%
Bridgeport|156|1.000%|0.000%|0.000%
Brimfield Tallmadge JEDD|137|2.000%|0.000%|0.000%
Broadview Heights|140|2.000%|75.000%|2.000%
Brooklyn|150|2.500%|100.000%|2.500%
Brooklyn Heights|160|2.500%|100.000%|2.500%
Bryan|172|1.800%|100.000%|1.800%
Buckland|154|1.000%|50.000%|1.000%
Burbank|125|1.000%|0.000%|0.000%
Butler|163|1.000%|50.000%|1.000%
Butler County Annexation|091|2.000%|0.000%|0.000%
Cairo|162|0.500%|0.000%|0.000%
Caldwell|158|1.000%|100.000%|1.000%
Camden|232|1.000%|0.000%|0.000%
Campbell|167|2.500%|100.000%|2.500%
Canal Fulton|177|2.000%|100.000%|2.000%
Canal Winchester|175|2.000%|100.000%|2.000%
Cardington|168|1.000%|100.000%|1.000%
Carroll|202|0.750%|25.000%|0.750%
Carrollton|203|1.000%|100.000%|0.500%
Catawba|204|1.000%|0.000%|0.000%
Cecil|195|1.000%|50.000%|1.000%
Cedarville|192|1.250%|100.000%|1.250%
Centerburg|194|1.000%|0.000%|0.000%
Chagrin Falls|180|1.850%|75.000%|1.850%
Chardon|185|2.000%|50.000%|2.000%
Chesterville|126|1.000%|0.000%|0.000%
Circleville|190|2.500%|100.000%|2.500%
Circleville-Pickaway Twp JEDD|151|2.500%|0.000%|0.000%
Clarksville|237|1.000%|0.000%|0.000%
Cleveland Heights|210|2.250%|50.000%|1.000%
Clinton|159|1.000%|0.000%|0.000%
Clinton Grandview Heights JEDZ|293|2.500%|0.000%|0.000%
Coal Grove|207|1.000%|75.000%|1.000%
College Corner|155|0.000%|0.000%|0.000%
Columbiana|211|1.000%|100.000%|0.500%
Commercial Point|224|0.750%|0.000%|0.000%
Conesville|236|0.500%|0.000%|0.000%
Continental|226|1.000%|100.000%|1.000%
Corwin|223|0.500%|100.000%|0.500%
Crestline|227|2.000%|0.000%|0.000%
Creston|228|1.000%|0.000%|0.000%
Crooksville|230|1.500%|100.000%|1.500%
Cuyahoga Falls|220|2.000%|100.000%|2.000%
Cuyahoga Falls Boston Twp JEDD|135|2.000%|0.000%|0.000%
Cuyahoga Heights|250|2.500%|100.000%|2.500%
Danville|251|1.500%|0.000%|0.000%
Darbyville|152|1.000%|0.000%|0.000%
DeGraff|249|1.750%|0.000%|0.000%
Dennison|256|2.000%|100.000%|2.000%
Dorr Street JEDD|141|2.000%|0.000%|0.000%
Doylestown|261|2.000%|100.000%|1.000%
Dresden|262|1.000%|50.000%|1.000%
Dunkirk|264|1.000%|50.000%|1.000%
East Cleveland|270|2.000%|0.000%|0.000%
East Palestine|268|1.500%|0.000%|0.000%
East Union Twp-Apple Creek JEDD|247|1.000%|0.000%|0.000%
Eastlake|273|2.000%|100.000%|2.000%
Eaton|246|1.500%|100.000%|1.500%
Eaton JEDD|292|2.250%|0.000%|0.000%
Edgerton|248|1.750%|100.000%|1.750%
Edison|271|0.500%|0.000%|0.000%
Elmore|272|1.750%|0.000%|0.000%
Elmwood Place|269|2.000%|100.000%|2.000%
Elyria|277|2.250%|100.000%|2.250%
Elyria JEDD|282|2.250%|0.000%|0.000%
Empire|235|1.000%|100.000%|1.000%
Etna-Reynoldsburg JEDD 1|145|2.000%|0.000%|0.000%
Etna-Reynoldsburg JEDD 2|146|2.000%|0.000%|0.000%
Etna-Reynoldsburg JEDD 3|147|2.000%|0.000%|0.000%
Etna-Reynoldsburg JEDD 4|144|2.000%|0.000%|0.000%
Etna-Reynoldsburg JEDD 7|139|2.000%|0.000%|0.000%
Euclid|280|2.850%|100.000%|2.850%
Evans Farm JEDD|142|1.000%|0.000%|0.000%
Fairborn|287|2.000%|100.000%|2.000%
